Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Revenue_per_Month,Average_Monthly_Charges,Charges_Evolution,Total_Services,Contract_Risk_Score,Payment_Risk_Score,Service_Dependency_Score,Loyalty_Adjusted_Value,Gender_Encoded,Contract_Encoded,Payment Method_Encoded,Internet Service_DSL,Internet Service_Fiber optic,Internet Service_No,Value_Segment_Low,Value_Segment_Medium,Value_Segment_High,Value_Segment_Premium,customer_sentiment,sentiment_encoded,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9
No,No,No,-0.260189291,No,No phone service,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,-0.657914801,-0.376000672,Yes,-0.746867063,-0.746867063,1.888504114,1,3,3,-0.490545965,-0.405381557,0,0,2,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,POSITIVE,1,-0.8039254,-0.6556216,0.49813226,0.09567271,-1.3547665,-1.4734502,0.19598183,-0.5932262,0.9983024,0.63794804
No,No,No,-0.989731303,Yes,Yes,No,No,No,No,No,No,Month-to-month,No,Electronic check,0.102539631,-0.933343688,Yes,0.104210052,0.104210052,0,1,3,3,-0.490545965,-0.746421317,0,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NEGATIVE,0,-0.37090278,-1.3242571,2.347788,0.5264411,0.06265119,-0.5355173,-0.5877409,-0.6581377,-0.64413446,-0.4945826
Yes,No,No,-0.906122343,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.42305616,-0.739648108,Yes,0.27517969,0.27517969,3.747361243,3,3,3,0.359472591,-0.405099378,0,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.40264952,-1.2440133,2.4811716,0.32283762,-0.08260858,-0.67046916,-0.50093013,-0.5694193,-0.6672315,-0.47459358
No,Yes,No,-0.345149111,Yes,No,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,0.252185583,-0.030663177,Yes,0.307685401,0.307685401,-1.252738769,3,3,3,0.19141875,0.176842793,0,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,POSITIVE,1,-0.8039254,-0.6556216,0.49813226,0.09567271,-1.3547665,-1.4734502,0.19598183,-0.5932262,0.9983024,0.63794804
Yes,No,No,-0.546835077,Yes,Yes,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),0.253981823,-0.271508228,Yes,0.20215923,0.20215923,1.324915886,2,3,1,0,0.026462147,1,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NEGATIVE,0,-0.2946993,-1.108603,2.212144,0.32657436,-0.25405645,-0.66491187,-0.52633065,-0.56073105,-0.62076235,-0.4520944
No,Yes,No,-0.345149111,Yes,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.551926578,0.032696639,Yes,0.541482829,0.541482829,0.362120528,4,3,3,0.509454035,0.337495528,1,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.7082569,-0.3377057,-1.482751,1.5931457,0.85808265,-0.7745808,1.4795299,0.06541528,-0.090036236,0.77697134
No,No,No,-0.989731303,Yes,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,-0.366319938,-1.016687902,Yes,-0.368629138,-0.368629138,0,1,3,3,-0.490545965,-0.909088483,1,0,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NEGATIVE,0,-0.18737447,-1.2656927,2.2067895,0.40826085,-0.20770672,-0.51783895,-0.37609157,-0.40917724,-0.35413283,-0.2720175
No,No,No,-0.439481315,Yes,Yes,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,0.531531103,-0.093880541,Yes,0.436511763,0.436511763,2.458681287,4,3,2,0.509454035,0.256942956,1,0,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.112244844,-1.2086306,2.2338269,0.590217,-0.29613137,-0.7391062,-0.82683134,-0.53699946,-0.64684796,-0.48494816
No,No,No,-0.906122343,Yes,Yes,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,0.379345887,-0.7059576,Yes,0.479535496,0.479535496,-2.297706636,3,3,3,0.19141875,-0.420584612,0,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.4385426,-1.2317655,2.4561558,0.3124087,-0.02452372,-0.57308155,-0.45936045,-0.46993375,-0.5942512,-0.33675045
Yes,No,No,-0.723022973,Yes,No,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),0.094393525,-0.531089807,Yes,-0.006787254,-0.006787254,2.48814243,2,3,1,-0.222876017,-0.234594404,0,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NEGATIVE,0,-0.29347563,-1.233501,2.2723706,0.47593108,-0.19093245,-0.5537318,-0.56986016,-0.4032743,-0.4634573,-0.4323532
No,No,No,-0.776797309,Yes,Yes,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),0.189218438,-0.547069552,Yes,0.233377005,0.233377005,-0.991782061,2,3,1,-0.222876017,-0.261051663,1,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NEGATIVE,0,-0.32334328,-1.3087409,2.3468442,0.30482268,-0.25091445,-0.720603,-0.5017645,-0.4130676,-0.59744763,-0.2970853
No,Yes,No,-0.315918046,Yes,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.532418216,0.042071661,Yes,0.463831042,0.463831042,1.79950847,4,3,3,0.509454035,0.347356682,0,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.7082569,-0.3377057,-1.482751,1.5931457,0.85808265,-0.7745808,1.4795299,0.06541528,-0.090036236,0.77697134
No,No,No,-0.989731303,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,-0.939257471,-1.169934391,Yes,-0.948987814,-0.948987814,0,1,3,3,-0.490545965,-1.17426181,1,0,2,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NEGATIVE,0,-0.2677858,-1.1994219,2.1212542,0.36870962,-0.31947714,-0.60339737,-0.44642794,-0.34506595,-0.28612322,-0.23193401
No,No,No,-0.723022973,Yes,Yes,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,0.270141065,-0.467954962,Yes,0.264432707,0.264432707,0.204628709,3,3,3,0,-0.151621552,1,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NEGATIVE,0,-0.39202893,-1.2364172,2.3201745,0.40714398,-0.10056383,-0.53685224,-0.5097505,-0.4293932,-0.36569336,-0.33295476
No,No,No,-0.776797309,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,0.000909978,-0.598863412,Yes,-0.00091703,-0.00091703,0.065164525,1,3,3,-0.490545965,-0.348357698,0,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NEGATIVE,0,-0.4758343,-1.4244373,2.2828856,0.40454948,-0.007311657,-0.63000387,-0.51862997,-0.5121566,-0.5611355,-0.5429684
No,No,No,0.156973596,Yes,Yes,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),0.511118579,0.464750109,Yes,0.428233184,0.428233184,2.151114953,4,3,1,0.509454035,0.579324842,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.7082569,-0.3377057,-1.482751,1.5931457,0.85808265,-0.7745808,1.4795299,0.06541528,-0.090036236,0.77697134
No,Yes,No,-0.406811682,Yes,Yes,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),0.073559683,-0.191525883,Yes,-0.024213004,-0.024213004,2.398311165,1,3,1,-0.490545965,0.03451522,1,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,POSITIVE,1,-0.8039254,-0.6556216,0.49813226,0.09567271,-1.3547665,-1.4734502,0.19598183,-0.5932262,0.9983024,0.63794804
No,No,No,-0.110254122,Yes,Yes,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.510230687,0.263934036,Yes,0.542091919,0.542091919,-0.668451092,4,3,3,0.509454035,0.456498976,0,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.7082569,-0.3377057,-1.482751,1.5931457,0.85808265,-0.7745808,1.4795299,0.06541528,-0.090036236,0.77697134
No,Yes,No,0.539780632,Yes,Yes,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,0.638642662,0.858378852,Yes,0.667162998,0.667162998,-0.576588786,5,2,3,0.645020411,0.790487515,1,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.7082569,-0.3377057,-1.482751,1.5931457,0.85808265,-0.7745808,1.4795299,0.06541528,-0.090036236,0.77697134
No,No,No,0.228586573,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.615665298,0.596530432,Yes,0.643577254,0.643577254,-0.563925759,5,3,3,0.645020411,0.66851306,1,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.7082569,-0.3377057,-1.482751,1.5931457,0.85808265,-0.7745808,1.4795299,0.06541528,-0.090036236,0.77697134
Yes,No,No,-0.157765011,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.473798839,0.189813052,Yes,0.441593449,0.441593449,0.886139361,3,3,3,0.359472591,0.411020551,1,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.7082569,-0.3377057,-1.482751,1.5931457,0.85808265,-0.7745808,1.4795299,0.06541528,-0.090036236,0.77697134
No,No,No,-0.906122343,Yes,No,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),-0.280840048,-0.865972964,Yes,-0.351223821,-0.351223821,1.619991485,3,3,1,0,-0.68442436,0,0,1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NEGATIVE,0,-0.2564882,-1.2781672,2.348043,0.3929182,-0.01580523,-0.6569015,-0.5587175,-0.3649074,-0.38191855,-0.45265007
Yes,No,No,-0.233542584,Yes,Yes,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.322126362,0.111208259,Yes,0.419797594,0.419797594,-2.24009358,3,3,3,0.19141875,0.283820731,1,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,POSITIVE,1,-0.8039254,-0.6556216,0.49813226,0.09567271,-1.3547665,-1.4734502,0.19598183,-0.5932262,0.9983024,0.63794804
No,Yes,No,-0.586532311,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,-0.955175928,-0.782240359,Yes,-0.9982106,-0.9982106,0.711607543,1,2,2,-0.490545965,-0.827175465,0,1,3,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NEGATIVE,0,-0.37844563,-1.2014185,2.143313,0.46712193,-0.4440674,-0.83802176,-0.4736463,-0.46141458,-0.43737596,-0.4123241
Yes,No,No,-0.345149111,Yes,Yes,No,No,No,No,No,No,Month-to-month,No,Electronic check,0.096204073,-0.088621532,Yes,0.112288559,0.112288559,-0.342447295,1,3,3,-0.490545965,0.087134137,1,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,POSITIVE,1,-0.8039254,-0.6556216,0.49813226,0.09567271,-1.3547665,-1.4734502,0.19598183,-0.5932262,0.9983024,0.63794804
Yes,No,No,-0.989731303,Yes,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.078996831,-0.937038857,Yes,0.080499429,0.080499429,0,1,3,3,-0.490545965,-0.753899522,1,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NEGATIVE,0,-0.4019072,-1.3718196,2.2141485,0.41471353,-0.09304464,-0.59836096,-0.49689674,-0.6346669,-0.7305242,-0.48126188
No,No,No,-0.287624706,Yes,No,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,0.11430007,-0.028907741,Yes,0.127299451,0.127299451,-0.266875384,2,3,3,-0.222876017,0.131947865,1,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,POSITIVE,1,-0.8039254,-0.6556216,0.49813226,0.09567271,-1.3547665,-1.4734502,0.19598183,-0.5932262,0.9983024,0.63794804
Yes,No,No,-0.989731303,No,No phone service,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,-0.835796383,-1.134662666,Yes,-0.843888737,-0.843888737,0,0,3,2,-1.287345685,-1.117253751,0,0,3,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NEGATIVE,0,-0.22863293,-1.1968046,2.1286645,0.32104373,-0.32287723,-0.5660381,-0.53298634,-0.33796674,-0.31935778,-0.2477715
No,No,No,-0.906122343,No,No phone service,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,-0.513525938,-0.943694064,Yes,-0.640314053,-0.640314053,2.837553638,3,3,3,0,-0.796548121,0,0,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NEGATIVE,0,-0.19533241,-1.2788532,2.1942387,0.25162604,-0.17916304,-0.7387931,-0.42588395,-0.44868034,-0.4294485,-0.31191948
No,No,No,0,Yes,No,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),-0.027321251,0.162105547,Yes,-0.043188982,-0.043188982,0.393562352,5,3,1,0.509454035,0.17845139,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,POSITIVE,1,-0.8039254,-0.6556216,0.49813226,0.09567271,-1.3547665,-1.4734502,0.19598183,-0.5932262,0.9983024,0.63794804
No,Yes,No,-0.906122343,Yes,No,No,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),0.354330533,-0.711014201,Yes,0.447779385,0.447779385,-2.139775313,4,3,1,0.359472591,-0.429536266,1,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.3894508,-1.1658032,2.441553,0.45567703,0.025391355,-0.6201094,-0.5049713,-0.45179132,-0.51683396,-0.3562345
No,No,No,-0.375410687,Yes,No,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,0.090771907,-0.135981561,Yes,0.054601648,0.054601648,0.907086385,2,3,3,-0.222876017,0.065007491,0,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,POSITIVE,1,-0.8039254,-0.6556216,0.49813226,0.09567271,-1.3547665,-1.4734502,0.19598183,-0.5932262,0.9983024,0.63794804
No,No,No,-0.586532311,Yes,Yes,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,0.547494219,-0.227625188,Yes,0.580201484,0.580201484,-0.685363594,4,3,3,0.509454035,0.132109095,1,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.21677911,-1.2898479,2.3677197,0.43141565,-0.1421722,-0.6432066,-0.5480025,-0.43557775,-0.5461468,-0.33194616
No,Yes,No,-0.723022973,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,-0.007281511,-0.54925267,Yes,-0.078505868,-0.078505868,1.729064423,1,3,3,-0.490545965,-0.284952621,0,0,2,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NEGATIVE,0,-0.27826416,-1.2694243,2.1760647,0.42008469,-0.22931424,-0.7728288,-0.58669925,-0.58298206,-0.58142436,-0.5386769
No,Yes,No,0.567613019,Yes,Yes,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,0.665129588,0.891282032,Yes,0.698486055,0.698486055,-0.69108491,5,2,3,0.645020411,0.814961866,0,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.7082569,-0.3377057,-1.482751,1.5931457,0.85808265,-0.7745808,1.4795299,0.06541528,-0.090036236,0.77697134
No,No,No,-0.989731303,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,-0.452363059,-1.034855712,Yes,-0.455571372,-0.455571372,0,1,3,2,-0.490545965,-0.942857833,1,0,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NEGATIVE,0,-0.25036633,-1.1807512,2.227001,0.28519773,-0.26509583,-0.59061724,-0.50383306,-0.40414304,-0.39187193,-0.28216273
No,Yes,No,0.423157935,Yes,No,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),0.640409301,0.774621503,Yes,0.694166275,0.694166275,-1.183355594,6,2,1,0.76880815,0.753628542,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.7082569,-0.3377057,-1.482751,1.5931457,0.85808265,-0.7745808,1.4795299,0.06541528,-0.090036236,0.77697134
No,No,No,-0.989731303,Yes,No,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,0.38470269,-0.892019414,Yes,0.388164052,0.388164052,0,4,3,3,0.359472591,-0.661133524,0,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.4053018,-1.2126224,2.3875818,0.29413828,-0.046824053,-0.47951436,-0.41490674,-0.5343058,-0.6053433,-0.33576247
No,No,No,-0.315918046,Yes,Yes,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),0.454226987,0.048374337,Yes,0.487187978,0.487187978,-0.700047339,4,3,1,0.359472591,0.3061637,0,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,POSITIVE,1,-0.8039254,-0.6556216,0.49813226,0.09567271,-1.3547665,-1.4734502,0.19598183,-0.5932262,0.9983024,0.63794804
No,No,No,-0.989731303,Yes,Yes,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0.083526581,-0.936324593,Yes,0.085061703,0.085061703,0,1,3,3,-0.490545965,-0.752455914,1,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NEGATIVE,0,-0.36158037,-1.3318266,2.2143242,0.43567958,-0.18443671,-0.67409426,-0.55731314,-0.6317417,-0.76462257,-0.5382999
Yes,No,No,-0.509281283,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.449776565,-0.190802633,Yes,0.354650332,0.354650332,2.441156065,3,3,3,0.359472591,0.158246748,1,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.3967216,-1.1917748,2.395721,0.5512548,-0.1260194,-0.52114534,-0.7182709,-0.6216682,-0.4505318,-0.42507982
Yes,No,No,-0.836928894,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,-0.468328552,-0.815160616,Yes,-0.52186557,-0.52186557,1.157355728,1,3,3,-0.490545965,-0.669960802,0,0,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NEGATIVE,0,-0.20017385,-1.1100768,2.2013016,0.40749145,-0.21002567,-0.6231316,-0.6097712,-0.28086796,-0.24387121,-0.3623561
No,No,No,0.608472947,Yes,No,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,0.523545636,0.87495676,Yes,0.566502669,0.566502669,-0.932932577,5,3,3,0.645020411,0.740884626,1,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.7082569,-0.3377057,-1.482751,1.5931457,0.85808265,-0.7745808,1.4795299,0.06541528,-0.090036236,0.77697134
No,Yes,No,-0.287624706,Yes,No,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),0.507566818,0.091653525,Yes,0.541860345,0.541860345,-0.726972489,5,2,1,0.645020411,0.352795802,0,1,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.7082569,-0.3377057,-1.482751,1.5931457,0.85808265,-0.7745808,1.4795299,0.06541528,-0.090036236,0.77697134
No,No,No,-0.628756242,Yes,No,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,-0.198636794,-0.474478809,Yes,-0.200817503,-0.200817503,0.034115254,3,3,2,0.19141875,-0.293221382,0,0,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NEGATIVE,0,-0.22520614,-1.3757324,2.1238904,0.5458044,-0.09530291,-0.69124854,-0.5644472,-0.57705116,-0.41987985,-0.6157238
Yes,Yes,No,-0.439481315,Yes,No,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0.182910983,-0.167867624,Yes,0.162135332,0.162135332,0.553829494,2,3,3,0,0.073979236,1,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NEGATIVE,0,-0.17000961,-1.1597724,2.2804365,0.5777852,-0.1192704,-0.7445094,-0.72368854,-0.44194847,-0.4615296,-0.27768338
No,Yes,No,0.245892753,Yes,No,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),0.137799355,0.449512375,Yes,0.18733512,0.18733512,-1.123135077,2,3,1,0,0.379243977,0,0,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,POSITIVE,1,-0.8039254,-0.6556216,0.49813226,0.09567271,-1.3547665,-1.4734502,0.19598183,-0.5932262,0.9983024,0.63794804
Yes,No,No,-0.906122343,Yes,No,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,0.078996831,-0.748208995,Yes,0.225910615,0.225910615,-3.388943248,2,3,3,-0.222876017,-0.532839695,1,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NEGATIVE,0,-0.4238752,-1.384714,2.2509537,0.44585586,-0.044377774,-0.6979325,-0.5340512,-0.5864929,-0.7018816,-0.50784767
Yes,No,No,-0.989731303,Yes,Yes,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,0.332866336,-0.899236568,Yes,0.336027627,0.336027627,0,3,3,3,0.19141875,-0.676246991,1,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NEGATIVE,0,-0.37630475,-1.2426273,2.4090328,0.3010505,-0.07671985,-0.6000456,-0.41508776,-0.633168,-0.58907247,-0.35472378
No,No,No,0.020797847,Yes,No,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.358799619,0.335602678,Yes,0.39076738,0.39076738,-0.685897604,3,3,3,0.359472591,0.431997806,1,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.7082569,-0.3377057,-1.482751,1.5931457,0.85808265,-0.7745808,1.4795299,0.06541528,-0.090036236,0.77697134
No,No,No,-0.345149111,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),-0.104053184,-0.148978802,Yes,-0.07346866,-0.07346866,-0.710813419,3,3,1,0.19141875,-0.035601041,0,0,0,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,POSITIVE,1,-0.8039254,-0.6556216,0.49813226,0.09567271,-1.3547665,-1.4734502,0.19598183,-0.5932262,0.9983024,0.63794804
Yes,Yes,No,-0.406811682,Yes,No,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),0.33733977,-0.080134305,Yes,0.356718459,0.356718459,-0.388270358,4,3,1,0.359472591,0.181479602,1,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,POSITIVE,1,-0.8039254,-0.6556216,0.49813226,0.09567271,-1.3547665,-1.4734502,0.19598183,-0.5932262,0.9983024,0.63794804
No,Yes,No,0.621866998,Yes,Yes,No,Yes,Yes,No,No,No,One year,No,Electronic check,0.307798146,0.791294477,Yes,0.327750687,0.327750687,-0.405571162,3,2,3,0,0.605990595,1,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,POSITIVE,1,-0.8039254,-0.6556216,0.49813226,0.09567271,-1.3547665,-1.4734502,0.19598183,-0.5932262,0.9983024,0.63794804
Yes,No,No,-0.133735356,Yes,No,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0.439092091,0.238849364,Yes,0.531706696,0.531706696,-2.11733167,4,3,3,0.509454035,0.404465245,0,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.7082569,-0.3377057,-1.482751,1.5931457,0.85808265,-0.7745808,1.4795299,0.06541528,-0.090036236,0.77697134
No,No,No,0.119596547,Yes,Yes,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0.290771022,0.387363909,Yes,0.295406008,0.295406008,-0.041501048,2,3,3,0,0.431618538,0,0,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,POSITIVE,1,-0.8039254,-0.6556216,0.49813226,0.09567271,-1.3547665,-1.4734502,0.19598183,-0.5932262,0.9983024,0.63794804
No,Yes,No,0.467945933,Yes,Yes,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,0.501349978,0.744588573,Yes,0.507467207,0.507467207,-0.049159706,4,2,3,0.509454035,0.68452829,0,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.7082569,-0.3377057,-1.482751,1.5931457,0.85808265,-0.7745808,1.4795299,0.06541528,-0.090036236,0.77697134
No,Yes,No,-0.546835077,Yes,No,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.098014449,-0.313463475,Yes,0.047208451,0.047208451,1.263281519,2,3,1,-0.222876017,-0.056061152,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NEGATIVE,0,-0.29892755,-1.116245,2.116595,0.4595554,-0.2598086,-0.59014195,-0.6104268,-0.44852793,-0.55633247,-0.49592632
Yes,Yes,No,-0.287624706,Yes,Yes,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0.271038438,0.020076833,Yes,0.28709903,0.28709903,-0.317495583,3,3,1,0,0.223215233,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,POSITIVE,1,-0.8039254,-0.6556216,0.49813226,0.09567271,-1.3547665,-1.4734502,0.19598183,-0.5932262,0.9983024,0.63794804
No,No,No,0.345335423,Yes,Yes,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),0.640409301,0.693338487,Yes,0.641481308,0.641481308,0.090544942,5,2,1,0.645020411,0.726521834,1,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NEGATIVE,0,-0.7082569,-0.3377057,-1.482751,1.5931457,0.85808265,-0.7745808,1.4795299,0.06541528,-0.090036236,0.77697134
Yes,No,No,-0.287624706,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,-0.46738881,-0.251848246,Yes,-0.465453066,-0.465453066,-0.120988958,1,3,3,-0.490545965,-0.26020454,1,0,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,POSITIVE,1,-0.8039254,-0.6556216,0.49813226,0.09567271,-1.3547665,-1.4734502,0.19598183,-0.5932262,0.9983024,0.63794804
